section,item,unit,scenario,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,source,range_low,range_high,owner,notes
input,initial_cash,万元,all,800,,,,,,,,,,,,,管理层资金计划,600,1200,CFO,期初现金
input,headcount,人,conservative,16,16,16,16,16,17,17,17,17,17,18,18,组织编制规划,15,24,HRBP,按月更新
input,headcount,人,base,18,18,18,18,18,19,19,19,19,19,20,20,组织编制规划,15,24,HRBP,按月更新
input,headcount,人,aggressive,20,20,21,21,22,22,23,23,24,24,24,24,组织编制规划,15,24,HRBP,按月更新
input,cost_per_head,万元,all,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,薪酬样本与招聘数据,3.2,4.8,HRBP,含社保与福利
input,cloud_fixed_cost,万元,base,35,35,35,35,35,35,36,36,36,37,37,38,云报价与POC消耗,25,60,CTO,固定算力开销
input,other_fixed_cost,万元,base,22,22,22,23,23,23,24,24,24,25,25,25,历史支出,15,35,Finance,办公法务审计
input,cash_collection,万元,conservative,25,30,36,45,58,72,88,100,112,124,136,150,销售预测与DSO假设,15,220,SalesOps,回款口径
input,cash_collection,万元,base,30,38,48,62,78,95,112,128,146,164,182,202,销售预测与DSO假设,20,260,SalesOps,回款口径
input,cash_collection,万元,aggressive,36,46,60,78,98,118,140,162,184,208,232,258,销售预测与DSO假设,25,320,SalesOps,回款口径
calc,payroll_cost,万元,formula,=headcount*cost_per_head,=headcount*cost_per_head,=headcount*cost_per_head,=headcount*cost_per_head,=headcount*cost_per_head,=headcount*cost_per_head,=headcount*cost_per_head,=headcount*cost_per_head,=headcount*cost_per_head,=headcount*cost_per_head,=headcount*cost_per_head,=headcount*cost_per_head,模型公式,,,Finance,按场景联动
calc,total_cash_cost,万元,formula,=payroll_cost+cloud_fixed_cost+other_fixed_cost,=payroll_cost+cloud_fixed_cost+other_fixed_cost,=payroll_cost+cloud_fixed_cost+other_fixed_cost,=payroll_cost+cloud_fixed_cost+other_fixed_cost,=payroll_cost+cloud_fixed_cost+other_fixed_cost,=payroll_cost+cloud_fixed_cost+other_fixed_cost,=payroll_cost+cloud_fixed_cost+other_fixed_cost,=payroll_cost+cloud_fixed_cost+other_fixed_cost,=payroll_cost+cloud_fixed_cost+other_fixed_cost,=payroll_cost+cloud_fixed_cost+other_fixed_cost,=payroll_cost+cloud_fixed_cost+other_fixed_cost,=payroll_cost+cloud_fixed_cost+other_fixed_cost,模型公式,,,Finance,按场景联动
calc,net_cash_flow,万元,formula,=cash_collection-total_cash_cost,=cash_collection-total_cash_cost,=cash_collection-total_cash_cost,=cash_collection-total_cash_cost,=cash_collection-total_cash_cost,=cash_collection-total_cash_cost,=cash_collection-total_cash_cost,=cash_collection-total_cash_cost,=cash_collection-total_cash_cost,=cash_collection-total_cash_cost,=cash_collection-total_cash_cost,=cash_collection-total_cash_cost,模型公式,,,Finance,经营现金流
calc,ending_cash,万元,formula,=initial_cash+net_cash_flow(m1),=ending_cash(m1)+net_cash_flow(m2),=ending_cash(m2)+net_cash_flow(m3),=ending_cash(m3)+net_cash_flow(m4),=ending_cash(m4)+net_cash_flow(m5),=ending_cash(m5)+net_cash_flow(m6),=ending_cash(m6)+net_cash_flow(m7),=ending_cash(m7)+net_cash_flow(m8),=ending_cash(m8)+net_cash_flow(m9),=ending_cash(m9)+net_cash_flow(m10),=ending_cash(m10)+net_cash_flow(m11),=ending_cash(m11)+net_cash_flow(m12),模型公式,,,Finance,期末现金
kpi,mrr,万元,base,20,28,38,50,65,82,100,118,136,154,172,190,订阅合同台账,10,260,RevenueOps,经常性收入
kpi,poc_count,个,base,2,3,4,5,6,7,8,9,10,11,12,13,销售漏斗周报,1,20,SalesOps,在验收流程内
kpi,retention_3m,%,base,85,85,86,86,87,87,88,88,88,89,89,90,客户成功数据,80,95,CS,3月留存
kpi,dso,天,base,80,80,78,78,76,75,75,74,74,73,72,72,财务应收台账,60,120,Finance,应收周转天数
